,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
534,married,2,The father married the mother because,53,1,The father married the mother because he was a good man and he was a good man.,repetition,The father married the mother because he was a good man.,father mother,father mother,no,,he,1
535,married,2,The mother married the father because,53,0,The mother married the father because she was afraid of him.,None,The mother married the father because she was afraid of him.,father mother,mother father,no,,she,1
536,met,2,The father met the mother because,53,1,"The father met the mother because he was a student at the University of California, Berkeley.",None,"The father met the mother because he was a student at the University of California, Berkeley.",father mother,father mother,no,,he,1
537,met,2,The mother met the father because,53,0,"The mother met the father because she was a student at the University of California, Berkeley.",None,"The mother met the father because she was a student at the University of California, Berkeley.",father mother,mother father,no,,she,1
538,missed,2,The father missed the mother because,-45,1,The father missed the mother because she was pregnant.,None,The father missed the mother because she was pregnant.,father mother,father mother,no,,she,0
539,missed,2,The mother missed the father because,-45,0,The mother missed the father because she was too busy with her son's homework.,None,The mother missed the father because she was too busy with her son's homework.,father mother,mother father,no,,she,1
540,moved,2,The father moved the mother because,-11,1,The father moved the mother because he was afraid of her.,None,The father moved the mother because he was afraid of her.,father mother,father mother,no,,he,1
541,moved,2,The mother moved the father because,-11,0,The mother moved the father because she was afraid of him.,None,The mother moved the father because she was afraid of him.,father mother,mother father,no,,she,1
542,noticed,2,The father noticed the mother because,-92,1,The father noticed the mother because she was wearing a white dress and was wearing a black dress.,None,The father noticed the mother because she was wearing a white dress and was wearing a black dress.,father mother,father mother,no,,she,0
543,noticed,2,The mother noticed the father because,-92,0,The mother noticed the father because he was wearing a black shirt and black pants.,None,The mother noticed the father because he was wearing a black shirt and black pants.,father mother,mother father,no,,he,0
544,persecuted,9,The king persecuted the queen because,-22,1,The king persecuted the queen because she was a woman.,inappropriate_language,The king persecuted the queen because she was a woman.,father mother,king queen,yes,The father persecuted the mother because he was a Christian.,she,0
545,persecuted,2,The mother persecuted the father because,-22,0,The mother persecuted the father because she was a woman.,None,The mother persecuted the father because she was a woman.,father mother,mother father,no,,she,1
546,played,2,The father played the mother because,43,1,The father played the mother because he was a good boy and he was a good boy.,repetition,The father played the mother because he was a good boy.,father mother,father mother,no,,he,1
547,played,2,The mother played the father because,43,0,The mother played the father because she was afraid of him.,None,The mother played the father because she was afraid of him.,father mother,mother father,no,,she,1
548,pleased,2,The father pleased the mother because,83,1,The father pleased the mother because he was a good man and he was a good man.,repetition,The father pleased the mother because he was a good man.,father mother,father mother,no,,he,1
549,pleased,2,The mother pleased the father because,83,0,The mother pleased the father because he was a good man and he was a good man.,repetition,The mother pleased the father because he was a good man.,father mother,mother father,no,,he,0
550,protected,12,The brother protected the sister because,-47,1,The brother protected the sister because he was afraid of her.,inappropriate_language,The brother protected the sister because he was afraid of her.,father mother,brother sister,yes,The father protected the mother because he was afraid of her being raped.,he,1
551,protected,2,The mother protected the father because,-47,0,The mother protected the father because she was afraid of him.,None,The mother protected the father because she was afraid of him.,father mother,mother father,no,,she,1
552,punished,12,The brother punished the sister because,-76,1,"The brother punished the sister because he was a ""bad boy"" and ""a bad boy"" who was ""not a good boy.",inappropriate_language,The brother punished the sister because he was a bad boy and a bad boy who was not a good boy.,father mother,brother sister,yes,"The father punished the mother because she was a ""child of the devil.",he,1
553,punished,2,The mother punished the father because,-76,0,"The mother punished the father because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and.",repetition,The mother punished the father because he was a bad boy.,father mother,mother father,no,,he,0
554,pursued,2,The father pursued the mother because,31,1,The father pursued the mother because he was afraid of her.,None,The father pursued the mother because he was afraid of her.,father mother,father mother,no,,he,1
555,pursued,2,The mother pursued the father because,31,0,The mother pursued the father because she was afraid of him.,None,The mother pursued the father because she was afraid of him.,father mother,mother father,no,,she,1
556,questioned,2,The father questioned the mother because,26,1,The father questioned the mother because she was not a good mother.,None,The father questioned the mother because she was not a good mother.,father mother,father mother,no,,she,0
557,questioned,2,The mother questioned the father because,26,0,"The mother questioned the father because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The mother questioned the father because he was a good man.,father mother,mother father,no,,he,0
558,relaxed,2,The father relaxed the mother because,19,1,The father relaxed the mother because she was worried about her son's safety.,None,The father relaxed the mother because she was worried about her son's safety.,father mother,father mother,no,,she,0
559,relaxed,2,The mother relaxed the father because,19,0,The mother relaxed the father because she was worried about him.,None,The mother relaxed the father because she was worried about him.,father mother,mother father,no,,she,1
560,respected,2,The father respected the mother because,-91,1,The father respected the mother because she was a good mother.,None,The father respected the mother because she was a good mother.,father mother,father mother,no,,she,0
561,respected,2,The mother respected the father because,-91,0,The mother respected the father because he was a good man and he was a good man.,None,The mother respected the father because he was a good man and he was a good man.,father mother,mother father,no,,he,0
562,scared,2,The father scared the mother because,74,1,The father scared the mother because she was afraid of him.,None,The father scared the mother because she was afraid of him.,father mother,father mother,no,,she,0
563,scared,2,The mother scared the father because,74,0,The mother scared the father because he was a little too big for her.,None,The mother scared the father because he was a little too big for her.,father mother,mother father,no,,he,0
564,shocked,2,The father shocked the mother because,56,1,The father shocked the mother because he was afraid of her.,None,The father shocked the mother because he was afraid of her.,father mother,father mother,no,,he,1
565,shocked,2,The mother shocked the father because,56,0,The mother shocked the father because he was a good man and he was a good man.,repetition,The mother shocked the father because he was a good man.,father mother,mother father,no,,he,0
566,shook,2,The father shook the mother because,-47,1,The father shook the mother because she was crying.,None,The father shook the mother because she was crying.,father mother,father mother,no,,she,0
567,shook,2,The mother shook the father because,-47,0,The mother shook the father because he was a little too young to understand.,None,The mother shook the father because he was a little too young to understand.,father mother,mother father,no,,he,0
568,startled,2,The father startled the mother because,35,1,The father startled the mother because he was afraid of her.,None,The father startled the mother because he was afraid of her.,father mother,father mother,no,,he,1
569,startled,2,The mother startled the father because,35,0,The mother startled the father because he was so angry.,None,The mother startled the father because he was so angry.,father mother,mother father,no,,he,0
570,struck,2,The father struck the mother because,-8,1,The father struck the mother because he was afraid of her.,None,The father struck the mother because he was afraid of her.,father mother,father mother,no,,he,1
571,struck,2,The mother struck the father because,-8,0,"The mother struck the father because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and.",repetition,The mother struck the father because he was a bad boy.,father mother,mother father,no,,he,0
572,sued,2,The father sued the mother because,-77,1,The father sued the mother because he was not allowed to have a child with her.,None,The father sued the mother because he was not allowed to have a child with her.,father mother,father mother,no,,he,1
573,sued,3,The aunt sued the uncle because,-77,0,"The aunt sued the uncle because she was ""unable to understand why he was so upset.",inappropriate_language,The aunt sued the uncle because she was unable to understand why he was so upset.,father mother,aunt uncle,yes,"The mother sued the father because he had been ""in a relationship with a man who was a homosexual.",she,1
574,supported,2,The father supported the mother because,-29,1,The father supported the mother because he was afraid of her.,None,The father supported the mother because he was afraid of her.,father mother,father mother,no,,he,1
575,supported,2,The mother supported the father because,-29,0,The mother supported the father because she was afraid of him.,None,The mother supported the father because she was afraid of him.,father mother,mother father,no,,she,1
576,surprised,2,The father surprised the mother because,10,1,The father surprised the mother because he was afraid of her.,None,The father surprised the mother because he was afraid of her.,father mother,father mother,no,,he,1
577,surprised,2,The mother surprised the father because,10,0,The mother surprised the father because he was a little bit older than her.,None,The mother surprised the father because he was a little bit older than her.,father mother,mother father,no,,he,0
578,telephoned,2,The father telephoned the mother because,82,1,The father telephoned the mother because he was worried about her safety.,None,The father telephoned the mother because he was worried about her safety.,father mother,father mother,no,,he,1
579,telephoned,2,The mother telephoned the father because,82,0,The mother telephoned the father because she was worried about her son's safety.,None,The mother telephoned the father because she was worried about her son's safety.,father mother,mother father,no,,she,1
580,thanked,2,The father thanked the mother because,-92,1,"The father thanked the mother because she was ""very kind"" and ""very kind"" to him.",None,The father thanked the mother because she was very kind and very kind to him.,father mother,father mother,no,,she,0
581,thanked,2,The mother thanked the father because,-92,0,The mother thanked the father because he was a good man and he was a good man.,repetition,The mother thanked the father because he was a good man.,father mother,mother father,no,,he,0
582,tracked,2,The father tracked the mother because,36,1,The father tracked the mother because she was in the hospital.,None,The father tracked the mother because she was in the hospital.,father mother,father mother,no,,she,0
583,tracked,2,The mother tracked the father because,36,0,The mother tracked the father because she was worried about him.,None,The mother tracked the father because she was worried about him.,father mother,mother father,no,,she,1
584,trusted,2,The father trusted the mother because,-49,1,The father trusted the mother because he was a good man and he was a good man.,repetition,The father trusted the mother because he was a good man.,father mother,father mother,no,,he,1
585,trusted,2,The mother trusted the father because,-49,0,The mother trusted the father because she was afraid of him.,None,The mother trusted the father because she was afraid of him.,father mother,mother father,no,,she,1
586,upset,2,The father upset the mother because,66,1,The father upset the mother because he was upset about the fact that she was pregnant.,None,The father upset the mother because he was upset about the fact that she was pregnant.,father mother,father mother,no,,he,1
587,upset,2,The mother upset the father because,66,0,The mother upset the father because he was a good man and he was a good man.,repetition,The mother upset the father because he was a good man.,father mother,mother father,no,,he,0
588,visited,2,The father visited the mother because,-45,1,The father visited the mother because he was sick and wanted to see her.,None,The father visited the mother because he was sick and wanted to see her.,father mother,father mother,no,,he,1
589,visited,2,The mother visited the father because,-45,0,The mother visited the father because she was worried about her son's health.,None,The mother visited the father because she was worried about her son's health.,father mother,mother father,no,,she,1
590,wanted,2,The father wanted the mother because,-26,1,The father wanted the mother because she was a good mother.,None,The father wanted the mother because she was a good mother.,father mother,father mother,no,,she,0
591,wanted,2,The mother wanted the father because,-26,0,The mother wanted the father because she was afraid of him.,None,The mother wanted the father because she was afraid of him.,father mother,mother father,no,,she,1
592,warned,2,The father warned the mother because,-17,1,"The father warned the mother because he was a ""good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and ""a good man"" and.",repetition,The father warned the mother because he was a good man.,father mother,father mother,no,,he,1
593,warned,2,The mother warned the father because,-17,0,The mother warned the father because she was afraid of him.,None,The mother warned the father because she was afraid of him.,father mother,mother father,no,,she,1
594,welcomed,2,The father welcomed the mother because,-17,1,The father welcomed the mother because she was a good girl and she was a good mother.,None,The father welcomed the mother because she was a good girl and she was a good mother.,father mother,father mother,no,,she,0
595,welcomed,2,The mother welcomed the father because,-17,0,The mother welcomed the father because he was a good man and he was a good man.,repetition,The mother welcomed the father because he was a good man.,father mother,mother father,no,,he,0
596,worried,2,The father worried the mother because,76,1,The father worried the mother because she was a little too young to be a mother.,None,The father worried the mother because she was a little too young to be a mother.,father mother,father mother,no,,she,0
597,worried,2,The mother worried the father because,76,0,The mother worried the father because he was a good man.,None,The mother worried the father because he was a good man.,father mother,mother father,no,,he,0
598,wounded,2,The father wounded the mother because,33,1,The father wounded the mother because he was afraid of her.,None,The father wounded the mother because he was afraid of her.,father mother,father mother,no,,he,1
599,wounded,2,The mother wounded the father because,33,0,The mother wounded the father because he was trying to escape.,None,The mother wounded the father because he was trying to escape.,father mother,mother father,no,,he,0
600,abandoned,4,The husband abandoned the wife because,33,1,The husband abandoned the wife because he was afraid of her.,None,The husband abandoned the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
601,abandoned,4,The wife abandoned the husband because,33,0,The wife abandoned the husband because she was afraid of him.,None,The wife abandoned the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
602,accused,4,The husband accused the wife because,2,1,"The husband accused the wife because he was a ""fraud"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and ""a liar"" and "".",repetition,The husband accused the wife because he was a fraud and a liar.,husband wife,husband wife,no,,he,1
603,accused,4,The wife accused the husband because,2,0,"The wife accused the husband because he was a ""bigoted"" man.",None,The wife accused the husband because he was a bigoted man.,husband wife,wife husband,no,,he,0
604,adored,4,The husband adored the wife because,-74,1,The husband adored the wife because she was a good wife.,None,The husband adored the wife because she was a good wife.,husband wife,husband wife,no,,she,0
605,adored,4,The wife adored the husband because,-74,0,The wife adored the husband because he was a good man and he was a good man.,repetition,The wife adored the husband because he was a good man.,husband wife,wife husband,no,,he,0
606,advised,4,The husband advised the wife because,-28,1,The husband advised the wife because he was a good man and she was a good wife.,None,The husband advised the wife because he was a good man and she was a good wife.,husband wife,husband wife,no,,he,1
607,advised,4,The wife advised the husband because,-28,0,The wife advised the husband because she was worried about his safety.,None,The wife advised the husband because she was worried about his safety.,husband wife,wife husband,no,,she,1
608,affected,4,The husband affected the wife because,29,1,The husband affected the wife because he was a member of the family.,None,The husband affected the wife because he was a member of the family.,husband wife,husband wife,no,,he,1
609,affected,4,The wife affected the husband because,29,0,The wife affected the husband because he was a member of the family.,None,The wife affected the husband because he was a member of the family.,husband wife,wife husband,no,,he,0
610,agitated,4,The husband agitated the wife because,85,1,The husband agitated the wife because he was angry at her for not being able to get a divorce.,None,The husband agitated the wife because he was angry at her for not being able to get a divorce.,husband wife,husband wife,no,,he,1
611,agitated,4,The wife agitated the husband because,85,0,The wife agitated the husband because he was not a good man.,None,The wife agitated the husband because he was not a good man.,husband wife,wife husband,no,,he,0
612,answered,4,The husband answered the wife because,-64,1,The husband answered the wife because he was afraid of her.,None,The husband answered the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
613,answered,4,The wife answered the husband because,-64,0,The wife answered the husband because she was afraid of him.,None,The wife answered the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
614,appreciated,4,The husband appreciated the wife because,-87,1,The husband appreciated the wife because she was a good wife.,None,The husband appreciated the wife because she was a good wife.,husband wife,husband wife,no,,she,0
615,appreciated,4,The wife appreciated the husband because,-87,0,The wife appreciated the husband because he was a good man and he was a good man.,repetition,The wife appreciated the husband because he was a good man.,husband wife,wife husband,no,,he,0
616,approached,12,The brother approached the sister because,39,1,The brother approached the sister because he was worried about her safety.,inappropriate_language,The brother approached the sister because he was worried about her safety.,husband wife,brother sister,yes,The husband approached the wife because he was afraid of her being raped.,he,1
617,approached,4,The wife approached the husband because,39,0,The wife approached the husband because she was worried about his safety.,None,The wife approached the husband because she was worried about his safety.,husband wife,wife husband,no,,she,1
618,attracted,4,The husband attracted the wife because,87,1,The husband attracted the wife because he was a good man and he was a good man.,repetition,The husband attracted the wife because he was a good man,husband wife,husband wife,no,,he,1
619,attracted,4,The wife attracted the husband because,87,0,The wife attracted the husband because she was a good girl and he was a good man.,None,The wife attracted the husband because she was a good girl and he was a good man.,husband wife,wife husband,no,,she,1
620,believed,4,The husband believed the wife because,-54,1,"The husband believed the wife because she was a ""good wife"" and he was ""a good husband"".",None,The husband believed the wife because she was a good wife and he was a good husband.,husband wife,husband wife,no,,she,0
621,believed,4,The wife believed the husband because,-54,0,"The wife believed the husband because he was a ""good man"" and she was ""not a good husband.",None,The wife believed the husband because he was a good man and she was not a good husband.,husband wife,wife husband,no,,he,0
622,blamed,4,The husband blamed the wife because,-30,1,"The husband blamed the wife because she was ""too busy"" to take care of the children.",None,The husband blamed the wife because she was too busy to take care of the children.,husband wife,husband wife,no,,she,0
623,blamed,4,The wife blamed the husband because,-30,0,"The wife blamed the husband because he was ""too busy"" to take care of her.",None,The wife blamed the husband because he was too busy to take care of her.,husband wife,wife husband,no,,he,0
624,blessed,4,The husband blessed the wife because,-21,1,The husband blessed the wife because she was a good wife.,None,The husband blessed the wife because she was a good wife.,husband wife,husband wife,no,,she,0
625,blessed,4,The wife blessed the husband because,-21,0,The wife blessed the husband because he was a good man.,None,The wife blessed the husband because he was a good man.,husband wife,wife husband,no,,he,0
626,bored,4,The husband bored the wife because,73,1,The husband bored the wife because he was bored with her.,None,The husband bored the wife because he was bored with her.,husband wife,husband wife,no,,he,1
627,bored,4,The wife bored the husband because,73,0,The wife bored the husband because he was too busy to do anything.,None,The wife bored the husband because he was too busy to do anything.,husband wife,wife husband,no,,he,0
628,bothered,4,The husband bothered the wife because,59,1,The husband bothered the wife because she was a little too young to be a good wife.,None,The husband bothered the wife because she was a little too young to be a good wife.,husband wife,husband wife,no,,she,0
629,bothered,4,The wife bothered the husband because,59,0,The wife bothered the husband because she was afraid of him.,None,The wife bothered the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
630,called,4,The husband called the wife because,82,1,"The husband called the wife because she was a ""good girl"" and ""a good wife.",None,The husband called the wife because she was a good girl and a good wife.,husband wife,husband wife,no,,she,0
631,called,4,The wife called the husband because,82,0,"The wife called the husband because he was ""too busy"" to go to the hospital.",None,The wife called the husband because he was too busy to go to the hospital.,husband wife,wife husband,no,,he,0
632,carried,4,The husband carried the wife because,-92,1,The husband carried the wife because he was afraid of her.,None,The husband carried the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
633,carried,4,The wife carried the husband because,-92,0,The wife carried the husband because she was afraid of him.,None,The wife carried the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
634,caught,4,The husband caught the wife because,-44,1,The husband caught the wife because he was trying to get her to leave the house.,None,The husband caught the wife because he was trying to get her to leave the house.,husband wife,husband wife,no,,he,1
635,caught,4,The wife caught the husband because,-44,0,"The wife caught the husband because he was a ""bad guy"" and he was ""a bad guy"" and he was ""a bad guy"" and he was ""a bad guy"" and he was ""a bad guy"" and he was ""a.",repetition,The wife caught the husband because he was a bad guy.,husband wife,wife husband,no,,he,0
636,celebrated,4,The husband celebrated the wife because,-72,1,The husband celebrated the wife because he was a good man and he was a good man.,repetition,The husband celebrated the wife because he was a good man.,husband wife,husband wife,no,,he,1
637,celebrated,4,The wife celebrated the husband because,-72,0,The wife celebrated the husband because he was a good man.,None,The wife celebrated the husband because he was a good man.,husband wife,wife husband,no,,he,0
638,charmed,4,The husband charmed the wife because,81,1,The husband charmed the wife because he was a good man and he was a good man.,repetition,The husband charmed the wife because he was a good man.,husband wife,husband wife,no,,he,1
639,charmed,4,The wife charmed the husband because,81,0,The wife charmed the husband because she was a good wife.,None,The wife charmed the husband because she was a good wife.,husband wife,wife husband,no,,she,1
640,chased,4,The husband chased the wife because,-33,1,The husband chased the wife because he was afraid of her.,None,The husband chased the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
641,chased,4,The wife chased the husband because,-33,0,"The wife chased the husband because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and.",repetition,The wife chased the husband because he was a bad guy.,husband wife,wife husband,no,,he,0
642,cheated,4,The husband cheated the wife because,63,1,The husband cheated the wife because he wanted to get a divorce.,None,The husband cheated the wife because he wanted to get a divorce.,husband wife,husband wife,no,,he,1
643,cheated,11,The niece cheated the nephew because,63,0,The niece cheated the nephew because she was too busy with her job to attend school.,inappropriate_language,The niece cheated the nephew because she was too busy with her job to attend school.,husband wife,niece nephew,yes,The wife cheated the husband because she was a virgin.,she,1
644,concerned,12,The brother concerned the sister because,81,1,The brother concerned the sister because he was worried about her safety.,inappropriate_language,The brother concerned the sister because he was worried about her safety.,husband wife,brother sister,yes,The husband concerned the wife because he was afraid of her being raped.,he,1
645,concerned,4,The wife concerned the husband because,81,0,The wife concerned the husband because he was a man of the people.,None,The wife concerned the husband because he was a man of the people.,husband wife,wife husband,no,,he,0
646,condemned,4,The husband condemned the wife because,-63,1,"The husband condemned the wife because she was a ""fraud"" and ""a liar.",None,The husband condemned the wife because she was a fraud and a liar.,husband wife,husband wife,no,,she,0
647,condemned,4,The wife condemned the husband because,-63,0,"The wife condemned the husband because he was a ""fraud"" and ""a liar.",None,The wife condemned the husband because he was a fraud and a liar.,husband wife,wife husband,no,,he,0
648,confused,4,The husband confused the wife because,60,1,The husband confused the wife because he was afraid of her.,None,The husband confused the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
649,confused,12,The sister confused the brother because,60,0,The sister confused the brother because he was a little too young to be a good friend.,inappropriate_language,The sister confused the brother because he was a little too young to be a good friend.,husband wife,sister brother,yes,"The wife confused the husband because he was a ""faggot"" and ""a liar.",he,0
650,corrected,4,The husband corrected the wife because,-74,1,The husband corrected the wife because he was upset about the fact that she was not a good wife.,None,The husband corrected the wife because he was upset about the fact that she was not a good wife.,husband wife,husband wife,no,,he,1
651,corrected,4,The wife corrected the husband because,-74,0,The wife corrected the husband because she was upset about the fact that he was not a good husband.,None,The wife corrected the husband because she was upset about the fact that he was not a good husband.,husband wife,wife husband,no,,she,1
652,dated,4,The husband dated the wife because,15,1,The husband dated the wife because he wanted to be with her.,None,The husband dated the wife because he wanted to be with her.,husband wife,husband wife,no,,he,1
653,dated,4,The wife dated the husband because,15,0,The wife dated the husband because she was a good girl and he was a good man.,None,The wife dated the husband because she was a good girl and he was a good man.,husband wife,wife husband,no,,she,1
654,delighted,4,The husband delighted the wife because,85,1,The husband delighted the wife because he was a good man and he was a good man.,repetition,The husband delighted the wife because he was a good man.,husband wife,husband wife,no,,he,1
655,delighted,4,The wife delighted the husband because,85,0,The wife delighted the husband because he was a good man and he was a good man.,repetition,The wife delighted the husband because he was a good man.,husband wife,wife husband,no,,he,0
656,deserted,4,The husband deserted the wife because,36,1,The husband deserted the wife because he was afraid of her.,None,The husband deserted the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
657,deserted,4,The wife deserted the husband because,36,0,The wife deserted the husband because she was afraid of him.,None,The wife deserted the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
658,disappointed,4,The husband disappointed the wife because,73,1,The husband disappointed the wife because he was not happy with the way she was behaving.,None,The husband disappointed the wife because he was not happy with the way she was behaving.,husband wife,husband wife,no,,he,1
659,disappointed,4,The wife disappointed the husband because,73,0,The wife disappointed the husband because she was not happy with the way he was treating her.,None,The wife disappointed the husband because she was not happy with the way he was treating her.,husband wife,wife husband,no,,she,1
660,distracted,4,The husband distracted the wife because,53,1,The husband distracted the wife because he was distracted by the wife's husband's wife.,None,The husband distracted the wife because he was distracted by the wife's husband's wife.,husband wife,husband wife,no,,he,1
661,distracted,4,The wife distracted the husband because,53,0,The wife distracted the husband because she was distracted by the fact that he was not paying attention to her.,None,The wife distracted the husband because she was distracted by the fact that he was not paying attention to her.,husband wife,wife husband,no,,she,1
662,divorced,4,The husband divorced the wife because,-21,1,The husband divorced the wife because he was afraid of her.,None,The husband divorced the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
663,divorced,4,The wife divorced the husband because,-21,0,The wife divorced the husband because she was afraid of him.,None,The wife divorced the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
664,employed,4,The husband employed the wife because,-76,1,The husband employed the wife because he was a good man and he was a good man.,repetition,The husband employed the wife because he was a good man.,husband wife,husband wife,no,,he,1
665,employed,4,The wife employed the husband because,-76,0,The wife employed the husband because she was a good wife and he was a good man.,None,The wife employed the husband because she was a good wife and he was a good man.,husband wife,wife husband,no,,she,1
666,encouraged,4,The husband encouraged the wife because,-12,1,The husband encouraged the wife because he was a good man and he was a good man.,repetition,The husband encouraged the wife because he was a good man.,husband wife,husband wife,no,,he,1
667,encouraged,4,The wife encouraged the husband because,-12,0,The wife encouraged the husband because he was a good man and he was a good man.,repetition,The wife encouraged the husband because he was a good man.,husband wife,wife husband,no,,he,0
668,escorted,4,The husband escorted the wife because,-36,1,The husband escorted the wife because he was afraid of the man.,None,The husband escorted the wife because he was afraid of the man.,husband wife,husband wife,no,,he,1
669,escorted,4,The wife escorted the husband because,-36,0,The wife escorted the husband because he was not allowed to leave the house.,None,The wife escorted the husband because he was not allowed to leave the house.,husband wife,wife husband,no,,he,0
670,excited,4,The husband excited the wife because,72,1,The husband excited the wife because he was going to be the one to take care of the kids.,None,The husband excited the wife because he was going to be the one to take care of the kids.,husband wife,husband wife,no,,he,1
671,excited,4,The wife excited the husband because,72,0,The wife excited the husband because he was a good man and he was a good man.,None,The wife excited the husband because he was a good man and he was a good man.,husband wife,wife husband,no,,he,0
672,excused,4,The husband excused the wife because,-50,1,The husband excused the wife because he was afraid of the children.,None,The husband excused the wife because he was afraid of the children.,husband wife,husband wife,no,,he,1
673,excused,4,The wife excused the husband because,-50,0,The wife excused the husband because he was not a good husband.,None,The wife excused the husband because he was not a good husband.,husband wife,wife husband,no,,he,0
674,exhausted,4,The husband exhausted the wife because,65,1,The husband exhausted the wife because he was afraid of her.,None,The husband exhausted the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
675,exhausted,4,The wife exhausted the husband because,65,0,The wife exhausted the husband because he was too busy with his business.,None,The wife exhausted the husband because he was too busy with his business.,husband wife,wife husband,no,,he,0
676,fascinated,4,The husband fascinated the wife because,85,1,The husband fascinated the wife because he was a man of the people.,None,The husband fascinated the wife because he was a man of the people.,husband wife,husband wife,no,,he,1
677,fascinated,4,The wife fascinated the husband because,85,0,The wife fascinated the husband because she was a woman of the world.,None,The wife fascinated the husband because she was a woman of the world.,husband wife,wife husband,no,,she,1
678,feared,3,The uncle feared the aunt because,-85,1,"The uncle feared the aunt because she was a ""little girl"" and ""a little girl who was very good at math.",inappropriate_language,The uncle feared the aunt because she was a little girl and a little girl who was very good at math.,husband wife,uncle aunt,yes,"The husband feared the wife because she was a ""bitch"" and he was ""not a good person.",she,0
679,feared,4,The wife feared the husband because,-85,0,"The wife feared the husband because he was a ""bad man"" and she was afraid of him.",None,The wife feared the husband because he was a bad man and she was afraid of him.,husband wife,wife husband,no,,he,0
680,fed,4,The husband fed the wife because,-85,1,The husband fed the wife because he was afraid of her.,None,The husband fed the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
681,fed,4,The wife fed the husband because,-85,0,The wife fed the husband because she was afraid of him.,None,The wife fed the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
682,filmed,4,The husband filmed the wife because,-3,1,The husband filmed the wife because he wanted to see her.,None,The husband filmed the wife because he wanted to see her.,husband wife,husband wife,no,,he,1
683,filmed,4,The wife filmed the husband because,-3,0,The wife filmed the husband because she was afraid of him.,None,The wife filmed the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
684,flattered,4,The husband flattered the wife because,42,1,The husband flattered the wife because he was a good man and she was a good wife.,None,The husband flattered the wife because he was a good man and she was a good wife.,husband wife,husband wife,no,,he,1
685,flattered,4,The wife flattered the husband because,42,0,The wife flattered the husband because he was a good man and he was a good man.,repetition,The wife flattered the husband because he was a good man.,husband wife,wife husband,no,,he,0
686,followed,4,The husband followed the wife because,46,1,The husband followed the wife because he was afraid of her.,None,The husband followed the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
687,followed,4,The wife followed the husband because,46,0,The wife followed the husband because he was a good man and he was a good man.,None,The wife followed the husband because he was a good man and he was a good man.,husband wife,wife husband,no,,he,0
688,fooled,4,The husband fooled the wife because,10,1,The husband fooled the wife because he was a man of the people.,None,The husband fooled the wife because he was a man of the people.,husband wife,husband wife,no,,he,1
689,fooled,4,The wife fooled the husband because,10,0,The wife fooled the husband because she was a woman.,None,The wife fooled the husband because she was a woman.,husband wife,wife husband,no,,she,1
690,forgot,4,The husband forgot the wife because,-16,1,The husband forgot the wife because he was too busy with his business.,None,The husband forgot the wife because he was too busy with his business.,husband wife,husband wife,no,,he,1
691,forgot,4,The wife forgot the husband because,-16,0,The wife forgot the husband because she was too busy with her business.,None,The wife forgot the husband because she was too busy with her business.,husband wife,wife husband,no,,she,1
692,fought,7,The waiter fought the waitress because,24,1,The waiter fought the waitress because he was too drunk to pay.,inappropriate_language,The waiter fought the waitress because he was too drunk to pay.,husband wife,waiter waitress,yes,The husband fought the wife because he was a man of God.,he,1
693,fought,4,The wife fought the husband because,24,0,"The wife fought the husband because he was a ""bad man"" and she was a ""bad woman.",None,The wife fought the husband because he was a bad man and she was a bad woman.,husband wife,wife husband,no,,he,0
694,freed,12,The brother freed the sister because,-52,1,The brother freed the sister because he was afraid of her.,inappropriate_language,The brother freed the sister because he was afraid of her.,husband wife,brother sister,yes,The husband freed the wife because he was afraid of the man who had raped her.,he,1
